ID,Acronym,sex,rat_n,tissue_name,region_tissue_name,consensus_tissue_name,organ_name,regional_tissue,tissue_color,region_tissue_color,consensus_tissue_color,organ_color
adib_female.4,adib,female,4,abdominal adipose tissue,abdominal adipose tissue,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
adib_female.1,adib,female,1,abdominal adipose tissue,abdominal adipose tissue,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
adib_male.4,adib,male,4,abdominal adipose tissue,abdominal adipose tissue,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
adib_male.1,adib,male,1,abdominal adipose tissue,abdominal adipose tissue,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
badi_female.1,badi,female,1,brown adipose,brown adipose,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
badi_female.4,badi,female,4,brown adipose,brown adipose,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
badi_male.4,badi,male,4,brown adipose,brown adipose,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
badi_male.1,badi,male,1,brown adipose,brown adipose,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
adif_female.1,adif,female,1,orbital adipose tissue,orbital adipose tissue,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
adif_female.4,adif,female,4,orbital adipose tissue,orbital adipose tissue,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
adif_male.4,adif,male,4,orbital adipose tissue,orbital adipose tissue,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
adif_male.1,adif,male,1,orbital adipose tissue,orbital adipose tissue,adipose tissue,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
tear_female.2,tear,female,2,tear gland,tear gland,tear gland,Adipose & soft tissue,FALSE,#A7DACD,#A7DACD,#A7DACD,#A7DACD
