PID	FC-BID
adib_female-1	E100006697-116
adib_female-4	E100006702-94,E100006698-94
adib_male-1	E100006703-1
adib_male-4	E100006702-44
adif_female-1	E100006702-72
adif_female-4	E100006699-90
adif_male-1	E100006702-1
adif_male-4	E100006702-45
adis_female-1	E100006699-77
adis_female-4	E100006702-95,E100006695-95
adis_male-1	E100006703-2
adis_male-4	E100006700-75,E100006697-75,E100006699-75
adr_female-1	E100006702-73
adr_female-4	E100006697-13
adr_male-1	E100006702-2
adr_male-4	E100006702-46
amygdala_female-2	E100006698-58
amygdala_female-3	E100006697-50
amygdala_male-2	E100006697-44
amygdala_male-3	E100006697-124
aor_female-1	E100006699-78
aor_female-4	E100006698-70
aor_male-1	E100006699-1
aor_male-4	E100006700-76
art_female-4	E100006702-16,E100006701-16
art_male-4	E100006699-61
badi_female-1	E100006700-125
badi_female-4	E100006701-41
badi_male-1	E100006703-3
badi_male-4	E100006702-47
bm_female-1	E100006697-55
bm_female-4	E100006699-91
bm_male-1	E100006699-2
bm_male-4	E100006699-62
bre_female-1	E100006700-127
bre_female-4	E100006702-96,E100006695-96
bro_female-1	E100006697-56
bro_female-4	E100006701-42
bro_male-1	E100006702-3
bro_male-4	E100006702-48
bul_male-4	E100006700-77
care_female-1	E100006701-25
care_female-4	E100006701-43
care_male-1	E100006699-3
care_male-4	E100006699-63
carj_female-1	E100006697-30
caudate-putamen_female-2	E100006703-34
caudate-putamen_female-3	E100006703-51
caudate-putamen_male-2	E100006698-67
caudate-putamen_male-3	E100006703-25
cec_female-1	E100006699-79
cec_female-4	E100006701-44
cec_male-1	E100006697-51
cec_male-4	E100006700-78
cer_female-1	E100006701-26
cer_female-4	E100006701-45
cerebellum-_female-2	E100006697-16
cerebellum-_female-3	E100006695-36
cerebellum-_male-2	E100006697-41
cerebellum-_male-3	E100006697-126
choroid-plexus_female-2	E100006697-117
choroid-plexus_female-3	E100006695-56
choroid-plexus_male-2	E100006695-100
cingulate/retrosplenial-cortex_female-2	E100006695-128
cingulate/retrosplenial-cortex_female-3	E100006703-52,E100006701-52
clit_female-1	E100006702-13,E100006701-13
clit_female-4	E100006695-84
col_female-1	E100006698-1
col_female-4	E100006698-80
col_male-1	E100006703-13,E100006699-13
col_male-4	E100006700-79,E100006697-79
cor_female-2	E100006701-28
cor_female-3	E100006701-46
cor_male-2	E100006699-4
