scilifelab_id	from_sample_tissue	tissue	organ_name	organ_short_name	color	organ_order	tissue_order
E100006703_52	retrosplenial and cingulate cortex	brain	Brain	Brain	#FFDD00	1	29
E100006703_26	retrosplenial and cingulate cortex	brain	Brain	Brain	#FFDD00	1	29
E100006701_52	retrosplenial and cingulate cortex	brain	Brain	Brain	#FFDD00	1	29
E100006698_64	retrosplenial and cingulate cortex	brain	Brain	Brain	#FFDD00	1	29
E100006695_128	retrosplenial and cingulate cortex	brain	Brain	Brain	#FFDD00	1	29
E100006697_26	somatosensory cortex	brain	Brain	Brain	#FFDD00	1	31
E100006697_127	somatosensory cortex	brain	Brain	Brain	#FFDD00	1	31
E100006697_122	somatosensory cortex	brain	Brain	Brain	#FFDD00	1	31
E100006695_32	somatosensory cortex	brain	Brain	Brain	#FFDD00	1	31
E100006703_36	olfactory bulb	brain	Brain	Brain	#FFDD00	1	39
E100006703_30	olfactory bulb	brain	Brain	Brain	#FFDD00	1	39
E100006703_116	olfactory bulb	brain	Brain	Brain	#FFDD00	1	39
E100006698_63	olfactory bulb	brain	Brain	Brain	#FFDD00	1	39
E100006703_115	entorhinal cortex	brain	Brain	Brain	#FFDD00	1	45
E100006701_115	entorhinal cortex	brain	Brain	Brain	#FFDD00	1	45
E100006698_69	entorhinal cortex	brain	Brain	Brain	#FFDD00	1	45
E100006695_99	entorhinal cortex	brain	Brain	Brain	#FFDD00	1	45
E100006695_124	entorhinal cortex	brain	Brain	Brain	#FFDD00	1	45
E100006703_51	caudate putamen	brain	Brain	Brain	#FFDD00	1	59
E100006703_34	caudate putamen	brain	Brain	Brain	#FFDD00	1	59
E100006703_25	caudate putamen	brain	Brain	Brain	#FFDD00	1	59
E100006698_67	caudate putamen	brain	Brain	Brain	#FFDD00	1	59
E100006703_55	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61
E100006703_33	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61
E100006703_128	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61
E100006701_33	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61
E100006700_128	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61
E100006695_33	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61
E100006698_81	thalamus	brain	Brain	Brain	#FFDD00	1	69
E100006697_49	thalamus	brain	Brain	Brain	#FFDD00	1	69
E100006695_123	thalamus	brain	Brain	Brain	#FFDD00	1	69
E100006695_116	thalamus	brain	Brain	Brain	#FFDD00	1	69
E100006703_125	midbrain	brain	Brain	Brain	#FFDD00	1	75
E100006698_62	midbrain	brain	Brain	Brain	#FFDD00	1	75
E100006697_38	midbrain	brain	Brain	Brain	#FFDD00	1	75
E100006695_125	midbrain	brain	Brain	Brain	#FFDD00	1	75
E100006695_115	midbrain	brain	Brain	Brain	#FFDD00	1	75
E100006697_128	corpus callosum	brain	Brain	Brain	#FFDD00	1	89
E100006695_34	corpus callosum	brain	Brain	Brain	#FFDD00	1	89
E100006697_117	choroid plexus	choroid plexus	Brain	Brain	#FFDD00	1	99
E100006695_56	choroid plexus	choroid plexus	Brain	Brain	#FFDD00	1	99
E100006695_100	choroid plexus	choroid plexus	Brain	Brain	#FFDD00	1	99
E100006703_124	ventral hippocampus 	brain	Brain	Brain	#FFDD00	1	116
E100006703_117	ventral hippocampus 	brain	Brain	Brain	#FFDD00	1	116
E100006701_117	ventral hippocampus 	brain	Brain	Brain	#FFDD00	1	116
E100006700_124	ventral hippocampus 	brain	Brain	Brain	#FFDD00	1	116
E100006695_38	ventral hippocampus 	brain	Brain	Brain	#FFDD00	1	116
E100006695_26	ventral hippocampus 	brain	Brain	Brain	#FFDD00	1	116
E100006695_117	ventral hippocampus 	brain	Brain	Brain	#FFDD00	1	116
E100006703_38	ventral spinal cord	brain	Brain	Brain	#FFDD00	1	118
E100006697_39	ventral spinal cord	brain	Brain	Brain	#FFDD00	1	118
E100006695_97	ventral spinal cord	brain	Brain	Brain	#FFDD00	1	118
E100006695_53	ventral spinal cord	brain	Brain	Brain	#FFDD00	1	118
E100006697_32	dorsal root ganglion	brain	Brain	Brain	#FFDD00	1	123
E100006697_28	dorsal root ganglion	brain	Brain	Brain	#FFDD00	1	123
E100006697_25	dorsal root ganglion	brain	Brain	Brain	#FFDD00	1	123
E100006695_90	dorsal root ganglion	brain	Brain	Brain	#FFDD00	1	123
E100006703_53	hypothalamus	brain	Brain	Brain	#FFDD00	1	126
E100006703_35	hypothalamus	brain	Brain	Brain	#FFDD00	1	126
E100006703_28	hypothalamus	brain	Brain	Brain	#FFDD00	1	126
E100006695_92	hypothalamus	brain	Brain	Brain	#FFDD00	1	126
E100006695_28	hypothalamus	brain	Brain	Brain	#FFDD00	1	126
E100006703_127	septal area	brain	Brain	Brain	#FFDD00	1	131
E100006703_114	septal area	brain	Brain	Brain	#FFDD00	1	131
E100006698_68	septal area	brain	Brain	Brain	#FFDD00	1	131
E100006698_127	septal area	brain	Brain	Brain	#FFDD00	1	131
E100006695_52	septal area	brain	Brain	Brain	#FFDD00	1	131
E100006695_127	septal area	brain	Brain	Brain	#FFDD00	1	131
E100006697_42	frontal cortex	brain	Brain	Brain	#FFDD00	1	10166
E100006695_91	frontal cortex	brain	Brain	Brain	#FFDD00	1	10166
E100006695_37	frontal cortex	brain	Brain	Brain	#FFDD00	1	10166
E100006695_25	frontal cortex	brain	Brain	Brain	#FFDD00	1	10166
E100006697_47	occipital cortex	brain	Brain	Brain	#FFDD00	1	10171
E100006697_43	occipital cortex	brain	Brain	Brain	#FFDD00	1	10171
E100006695_94	occipital cortex	brain	Brain	Brain	#FFDD00	1	10171
E100006695_104	occipital cortex	brain	Brain	Brain	#FFDD00	1	10171
E100006698_58	amygdala	brain	Brain	Brain	#FFDD00	1	11181
E100006697_50	amygdala	brain	Brain	Brain	#FFDD00	1	11181
E100006697_44	amygdala	brain	Brain	Brain	#FFDD00	1	11181
E100006697_124	amygdala	brain	Brain	Brain	#FFDD00	1	11181
E100006698_61	pons	brain	Brain	Brain	#FFDD00	1	14273
E100006698_60	pons	brain	Brain	Brain	#FFDD00	1	14273
E100006698_57	pons	brain	Brain	Brain	#FFDD00	1	14273
E100006695_51	pons	brain	Brain	Brain	#FFDD00	1	14273
E100006698_59	medulla oblongata	brain	Brain	Brain	#FFDD00	1	14285
E100006697_48	medulla oblongata	brain	Brain	Brain	#FFDD00	1	14285
E100006697_46	medulla oblongata	brain	Brain	Brain	#FFDD00	1	14285
E100006695_93	medulla oblongata	brain	Brain	Brain	#FFDD00	1	14285
E100006697_41	cerebellum	brain	Brain	Brain	#FFDD00	1	14789
E100006697_16	cerebellum	brain	Brain	Brain	#FFDD00	1	14789
E100006697_126	cerebellum	brain	Brain	Brain	#FFDD00	1	14789
E100006695_36	cerebellum	brain	Brain	Brain	#FFDD00	1	14789
E100006703_39	retina	retina	Eye	Eye	#FFEF78	2	97
E100006702_65	retina	retina	Eye	Eye	#FFEF78	2	97
E100006701_61	retina	retina	Eye	Eye	#FFEF78	2	97
E100006701_39	retina	retina	Eye	Eye	#FFEF78	2	97
E100006700_61	retina	retina	Eye	Eye	#FFEF78	2	97
E100006697_101	retina	retina	Eye	Eye	#FFEF78	2	97
E100006695_39	retina	retina	Eye	Eye	#FFEF78	2	97
E100006695_101	retina	retina	Eye	Eye	#FFEF78	2	97
E100006701_28	cornea	cornea	Eye	Eye	#FFEF78	2	111
E100006699_4	cornea	cornea	Eye	Eye	#FFEF78	2	111
E100006703_98	lens	lens	Eye	Eye	#FFEF78	2	113
E100006699_82	lens	lens	Eye	Eye	#FFEF78	2	113
E100006699_67	lens	lens	Eye	Eye	#FFEF78	2	113
E100006702_89	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90
E100006700_70	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90
E100006700_121	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90
E100006699_70	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90
E100006698_73	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90
E100006695_89	thyroid gland	thyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	90
E100006699_89	parathyroid gland	parathyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	91
E100006699_76	parathyroid gland	parathyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	91
E100006697_114	parathyroid gland	parathyroid gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	91
E100006702_73	adrenal gland	adrenal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	92
E100006702_46	adrenal gland	adrenal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	92
E100006702_2	adrenal gland	adrenal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	92
E100006697_13	adrenal gland	adrenal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	92
