scilifelab_id	detailed_name	from_sample_tissue	tissue	organ_name	organ_short_name	color	organ_order	tissue_order	organ_color	comment_260126	keep_260126
E100006703_52	retrosplenial and cingulate cortex	cingulate and retrosplenial cortex	brain	Brain	Brain	#FFDD00	1	29	#F1BF46		
E100006703_26	retrosplenial and cingulate cortex	cingulate and retrosplenial cortex	brain	Brain	Brain	#FFDD00	1	29	#F1BF46	some cerebellum genes?	
E100006701_52	retrosplenial and cingulate cortex	cingulate and retrosplenial cortex	brain	Brain	Brain	#FFDD00	1	29	#F1BF46		
E100006698_64	retrosplenial and cingulate cortex	cingulate and retrosplenial cortex	brain	Brain	Brain	#FFDD00	1	29	#F1BF46		
E100006695_128	retrosplenial and cingulate cortex	cingulate and retrosplenial cortex	brain	Brain	Brain	#FFDD00	1	29	#F1BF46	some cerebellum genes?	
E100006697_26	somatosensory cortex	somatosensory cortex	brain	Brain	Brain	#FFDD00	1	31	#F1BF46		
E100006697_127	somatosensory cortex	somatosensory cortex	brain	Brain	Brain	#FFDD00	1	31	#F1BF46		
E100006697_122	somatosensory cortex	somatosensory cortex	brain	Brain	Brain	#FFDD00	1	31	#F1BF46		
E100006695_32	somatosensory cortex	somatosensory cortex	brain	Brain	Brain	#FFDD00	1	31	#F1BF46		
E100006703_36	olfactory bulb	olfactory bulb	brain	Brain	Brain	#FFDD00	1	39	#F1BF46		
E100006703_30	olfactory bulb	olfactory bulb	brain	Brain	Brain	#FFDD00	1	39	#F1BF46		
E100006703_116	olfactory bulb	olfactory bulb	brain	Brain	Brain	#FFDD00	1	39	#F1BF46		
E100006698_63	olfactory bulb	olfactory bulb	brain	Brain	Brain	#FFDD00	1	39	#F1BF46		
E100006703_115	entorhinal cortex	entorhinal cortex	brain	Brain	Brain	#FFDD00	1	45	#F1BF46	klind of low q	
E100006701_115	entorhinal cortex	entorhinal cortex	brain	Brain	Brain	#FFDD00	1	45	#F1BF46	klind of low q	
E100006698_69	entorhinal cortex	entorhinal cortex	brain	Brain	Brain	#FFDD00	1	45	#F1BF46		
E100006695_99	entorhinal cortex	entorhinal cortex	brain	Brain	Brain	#FFDD00	1	45	#F1BF46		
E100006695_124	entorhinal cortex	entorhinal cortex	brain	Brain	Brain	#FFDD00	1	45	#F1BF46		
E100006703_51	caudate putamen	caudate putamen	brain	Brain	Brain	#FFDD00	1	59	#F1BF46		
E100006703_34	caudate putamen	caudate putamen	brain	Brain	Brain	#FFDD00	1	59	#F1BF46		
E100006703_25	caudate putamen	caudate putamen	brain	Brain	Brain	#FFDD00	1	59	#F1BF46		
E100006698_67	caudate putamen	caudate putamen	brain	Brain	Brain	#FFDD00	1	59	#F1BF46		
E100006703_55	ventral forebrain	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61	#F1BF46	has hypothalamus  (AVP + OXT)	discuss
E100006703_33	ventral forebrain	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61	#F1BF46	has hypothalamus  (AVP + OXT)	discuss
E100006703_128	ventral forebrain	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61	#F1BF46		
E100006701_33	ventral forebrain	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61	#F1BF46	has hypothalamus  (AVP + OXT)	discuss
E100006700_128	ventral forebrain	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61	#F1BF46		
E100006695_33	ventral forebrain	ventral forebrain	brain	Brain	Brain	#FFDD00	1	61	#F1BF46	has hypothalamus  (AVP + OXT)	discuss
E100006698_81	thalamus	thalamus	brain	Brain	Brain	#FFDD00	1	69	#F1BF46		
E100006697_49	thalamus	thalamus	brain	Brain	Brain	#FFDD00	1	69	#F1BF46		
E100006695_123	thalamus	thalamus	brain	Brain	Brain	#FFDD00	1	69	#F1BF46		
E100006695_116	thalamus	thalamus	brain	Brain	Brain	#FFDD00	1	69	#F1BF46		
E100006703_125	midbrain	midbrain	brain	Brain	Brain	#FFDD00	1	75	#F1BF46		
E100006698_62	midbrain	midbrain	brain	Brain	Brain	#FFDD00	1	75	#F1BF46		
E100006697_38	midbrain	midbrain	brain	Brain	Brain	#FFDD00	1	75	#F1BF46		
E100006695_125	midbrain	midbrain	brain	Brain	Brain	#FFDD00	1	75	#F1BF46		
E100006695_115	midbrain	midbrain	brain	Brain	Brain	#FFDD00	1	75	#F1BF46		
E100006697_128	corpus callosum	corpus callosum	brain	Brain	Brain	#FFDD00	1	89	#F1BF46		
E100006695_34	corpus callosum	corpus callosum	brain	Brain	Brain	#FFDD00	1	89	#F1BF46		
E100006697_117	choroid plexus	choroid plexus	choroid plexus	Brain	Brain	#FFDD00	1	99	#F1BF46		
E100006695_56	choroid plexus	choroid plexus	choroid plexus	Brain	Brain	#FFDD00	1	99	#F1BF46		
E100006695_100	choroid plexus	choroid plexus	choroid plexus	Brain	Brain	#FFDD00	1	99	#F1BF46	has hypothalamus  (AVP + OXT)	discuss
E100006703_124	ventral hippocampus	ventral hippocampus	brain	Brain	Brain	#FFDD00	1	116	#F1BF46		
E100006703_117	ventral hippocampus	ventral hippocampus	brain	Brain	Brain	#FFDD00	1	116	#F1BF46		
E100006701_117	ventral hippocampus	ventral hippocampus	brain	Brain	Brain	#FFDD00	1	116	#F1BF46		
E100006700_124	ventral hippocampus	ventral hippocampus	brain	Brain	Brain	#FFDD00	1	116	#F1BF46		
E100006695_38	ventral hippocampus	ventral hippocampus	brain	Brain	Brain	#FFDD00	1	116	#F1BF46		
E100006695_26	ventral hippocampus	ventral hippocampus	brain	Brain	Brain	#FFDD00	1	116	#F1BF46		
E100006695_117	ventral hippocampus	ventral hippocampus	brain	Brain	Brain	#FFDD00	1	116	#F1BF46		
