ENSRNOT00000094517 ENSRNOG00000064161 TR_V_gene TR_V_gene
ENSRNOT00000064892 ENSRNOG00000014312 TR_C_gene TR_C_gene
ENSRNOT00000095068 ENSRNOG00000066100 TR_C_gene TR_C_gene
ENSRNOT00000118328 ENSRNOG00000063707 IG_V_gene IG_V_gene
ENSRNOT00000050297 ENSRNOG00000062976 IG_V_gene IG_V_gene
ENSRNOT00000114641 ENSRNOG00000064245 IG_V_gene IG_V_gene
ENSRNOT00000102241 ENSRNOG00000062682 IG_V_gene IG_V_gene
ENSRNOT00000104200 ENSRNOG00000063148 IG_V_gene IG_V_gene
ENSRNOT00000110908 ENSRNOG00000066971 IG_V_gene IG_V_gene
ENSRNOT00000108384 ENSRNOG00000067603 IG_V_gene IG_V_gene
ENSRNOT00000117257 ENSRNOG00000062915 IG_V_gene IG_V_gene
ENSRNOT00000064361 ENSRNOG00000033376 IG_V_gene IG_V_gene
ENSRNOT00000115650 ENSRNOG00000065459 IG_V_gene IG_V_gene
ENSRNOT00000080018 ENSRNOG00000066380 IG_V_gene IG_V_gene
ENSRNOT00000093898 ENSRNOG00000069750 IG_V_gene IG_V_gene
ENSRNOT00000101037 ENSRNOG00000071091 IG_V_gene IG_V_gene
ENSRNOT00000101658 ENSRNOG00000066590 IG_V_gene IG_V_gene
ENSRNOT00000099692 ENSRNOG00000068696 IG_V_gene IG_V_gene
ENSRNOT00000100528 ENSRNOG00000070047 IG_V_gene IG_V_gene
ENSRNOT00000102943 ENSRNOG00000063672 IG_V_gene IG_V_gene
ENSRNOT00000116859 ENSRNOG00000070891 IG_V_gene IG_V_gene
ENSRNOT00000091268 ENSRNOG00000068413 IG_V_gene IG_V_gene
ENSRNOT00000078681 ENSRNOG00000065690 IG_V_gene IG_V_gene
ENSRNOT00000116659 ENSRNOG00000066406 IG_V_gene IG_V_gene
ENSRNOT00000096265 ENSRNOG00000070812 IG_V_gene IG_V_gene
ENSRNOT00000105166 ENSRNOG00000070244 IG_V_gene IG_V_gene
ENSRNOT00000096522 ENSRNOG00000068055 IG_V_gene IG_V_gene
ENSRNOT00000104380 ENSRNOG00000067233 IG_V_gene IG_V_gene
ENSRNOT00000118470 ENSRNOG00000063329 IG_V_gene IG_V_gene
ENSRNOT00000095230 ENSRNOG00000065675 IG_V_gene IG_V_gene
ENSRNOT00000099197 ENSRNOG00000066904 IG_V_gene IG_V_gene
ENSRNOT00000109056 ENSRNOG00000066072 IG_V_gene IG_V_gene
ENSRNOT00000102494 ENSRNOG00000065237 IG_V_gene IG_V_gene
ENSRNOT00000071934 ENSRNOG00000064085 IG_V_gene IG_V_gene
ENSRNOT00000101525 ENSRNOG00000065629 IG_V_gene IG_V_gene
ENSRNOT00000116316 ENSRNOG00000066082 IG_V_gene IG_V_gene
ENSRNOT00000109080 ENSRNOG00000067079 IG_V_gene IG_V_gene
ENSRNOT00000102317 ENSRNOG00000070134 IG_V_gene IG_V_gene
ENSRNOT00000047784 ENSRNOG00000071026 IG_V_gene IG_V_gene
ENSRNOT00000109443 ENSRNOG00000069898 IG_V_gene IG_V_gene
ENSRNOT00000084433 ENSRNOG00000053527 IG_V_gene IG_V_gene
ENSRNOT00000103173 ENSRNOG00000067178 TR_J_gene TR_J_gene
ENSRNOT00000108515 ENSRNOG00000070834 TR_J_gene TR_J_gene
ENSRNOT00000101581 ENSRNOG00000066169 protein_coding protein_coding
ENSRNOT00000105380 ENSRNOG00000064641 protein_coding protein_coding
ENSRNOT00000044979 ENSRNOG00000033395 protein_coding protein_coding
ENSRNOT00000094775 ENSRNOG00000066660 protein_coding protein_coding
ENSRNOT00000087667 ENSRNOG00000070168 protein_coding protein_coding
ENSRNOT00000119508 ENSRNOG00000070901 protein_coding protein_coding
ENSRNOT00000024353 ENSRNOG00000018029 protein_coding protein_coding
ENSRNOT00000045306 ENSRNOG00000031391 protein_coding protein_coding
ENSRNOT00000075346 ENSRNOG00000050129 protein_coding protein_coding
ENSRNOT00000036217 ENSRNOG00000029996 protein_coding protein_coding
ENSRNOT00000026088 ENSRNOG00000032625 protein_coding protein_coding
ENSRNOT00000099999 ENSRNOG00000032625 protein_coding protein_coding
ENSRNOT00000094997 ENSRNOG00000032625 protein_coding protein_coding
ENSRNOT00000050814 ENSRNOG00000029315 protein_coding protein_coding
ENSRNOT00000119131 ENSRNOG00000016356 protein_coding protein_coding
ENSRNOT00000022309 ENSRNOG00000016356 protein_coding protein_coding
ENSRNOT00000031397 ENSRNOG00000028288 protein_coding protein_coding
ENSRNOT00000096567 ENSRNOG00000062643 protein_coding protein_coding
ENSRNOT00000101154 ENSRNOG00000062643 protein_coding protein_coding
ENSRNOT00000081471 ENSRNOG00000015810 protein_coding protein_coding
ENSRNOT00000021532 ENSRNOG00000015810 protein_coding protein_coding
ENSRNOT00000112286 ENSRNOG00000015810 protein_coding protein_coding
ENSRNOT00000119157 ENSRNOG00000013596 protein_coding protein_coding
ENSRNOT00000018527 ENSRNOG00000013596 protein_coding protein_coding
ENSRNOT00000036656 ENSRNOG00000022863 protein_coding protein_coding
ENSRNOT00000023610 ENSRNOG00000017538 protein_coding protein_coding
ENSRNOT00000049631 ENSRNOG00000017538 protein_coding protein_coding
ENSRNOT00000012978 ENSRNOG00000009377 protein_coding protein_coding
ENSRNOT00000111505 ENSRNOG00000069093 protein_coding protein_coding
ENSRNOT00000014103 ENSRNOG00000010349 protein_coding protein_coding
ENSRNOT00000110276 ENSRNOG00000010349 protein_coding protein_coding
ENSRNOT00000034389 ENSRNOG00000027204 protein_coding protein_coding
ENSRNOT00000118262 ENSRNOG00000027204 protein_coding protein_coding
ENSRNOT00000064982 ENSRNOG00000015499 protein_coding protein_coding
ENSRNOT00000021008 ENSRNOG00000015499 protein_coding protein_coding
ENSRNOT00000089433 ENSRNOG00000015499 protein_coding protein_coding
ENSRNOT00000091106 ENSRNOG00000065199 protein_coding protein_coding
ENSRNOT00000036394 ENSRNOG00000065199 protein_coding protein_coding
ENSRNOT00000081824 ENSRNOG00000065199 protein_coding protein_coding
ENSRNOT00000049686 ENSRNOG00000069410 protein_coding protein_coding
ENSRNOT00000040740 ENSRNOG00000014903 protein_coding protein_coding
ENSRNOT00000083287 ENSRNOG00000014903 protein_coding protein_coding
ENSRNOT00000114879 ENSRNOG00000014903 protein_coding protein_coding
ENSRNOT00000107917 ENSRNOG00000014903 protein_coding protein_coding
ENSRNOT00000088190 ENSRNOG00000064304 protein_coding protein_coding
ENSRNOT00000028588 ENSRNOG00000021051 protein_coding protein_coding
ENSRNOT00000100389 ENSRNOG00000021051 protein_coding protein_coding
ENSRNOT00000115939 ENSRNOG00000021051 protein_coding protein_coding
ENSRNOT00000015084 ENSRNOG00000011160 protein_coding protein_coding
ENSRNOT00000054887 ENSRNOG00000017748 protein_coding protein_coding
ENSRNOT00000022406 ENSRNOG00000016227 protein_coding protein_coding
ENSRNOT00000107315 ENSRNOG00000016227 protein_coding protein_coding
ENSRNOT00000083316 ENSRNOG00000016227 protein_coding protein_coding
ENSRNOT00000109827 ENSRNOG00000016227 protein_coding protein_coding
ENSRNOT00000018233 ENSRNOG00000013395 protein_coding protein_coding
ENSRNOT00000006329 ENSRNOG00000004753 protein_coding protein_coding
ENSRNOT00000100069 ENSRNOG00000004753 protein_coding protein_coding
ENSRNOT00000022879 ENSRNOG00000016906 protein_coding protein_coding
ENSRNOT00000027539 ENSRNOG00000020317 protein_coding protein_coding
ENSRNOT00000021001 ENSRNOG00000015691 protein_coding protein_coding
ENSRNOT00000115720 ENSRNOG00000015691 protein_coding protein_coding
ENSRNOT00000115981 ENSRNOG00000070448 protein_coding protein_coding
ENSRNOT00000120310 ENSRNOG00000067171 protein_coding protein_coding
ENSRNOT00000045360 ENSRNOG00000065290 protein_coding protein_coding
ENSRNOT00000087657 ENSRNOG00000008463 protein_coding protein_coding
ENSRNOT00000030224 ENSRNOG00000008463 protein_coding protein_coding
ENSRNOT00000010788 ENSRNOG00000008121 protein_coding protein_coding
ENSRNOT00000107805 ENSRNOG00000008121 protein_coding protein_coding
ENSRNOT00000029587 ENSRNOG00000027582 protein_coding protein_coding
ENSRNOT00000042968 ENSRNOG00000010595 protein_coding protein_coding
ENSRNOT00000042245 ENSRNOG00000070096 protein_coding protein_coding
ENSRNOT00000051533 ENSRNOG00000062311 protein_coding protein_coding
ENSRNOT00000013031 ENSRNOG00000009830 protein_coding protein_coding
ENSRNOT00000092900 ENSRNOG00000069707 protein_coding protein_coding
ENSRNOT00000017019 ENSRNOG00000012742 protein_coding protein_coding
ENSRNOT00000048699 ENSRNOG00000063184 protein_coding protein_coding
ENSRNOT00000027581 ENSRNOG00000020337 protein_coding protein_coding
ENSRNOT00000096350 ENSRNOG00000069837 protein_coding protein_coding
ENSRNOT00000110036 ENSRNOG00000069837 protein_coding protein_coding
ENSRNOT00000104109 ENSRNOG00000070569 protein_coding protein_coding
ENSRNOT00000077375 ENSRNOG00000016408 protein_coding protein_coding
ENSRNOT00000031743 ENSRNOG00000016408 protein_coding protein_coding
ENSRNOT00000112010 ENSRNOG00000019455 protein_coding protein_coding
ENSRNOT00000110237 ENSRNOG00000019455 protein_coding protein_coding
ENSRNOT00000026382 ENSRNOG00000019455 protein_coding protein_coding
ENSRNOT00000112580 ENSRNOG00000019455 protein_coding protein_coding
ENSRNOT00000101755 ENSRNOG00000067491 protein_coding protein_coding
ENSRNOT00000115090 ENSRNOG00000065122 protein_coding protein_coding
ENSRNOT00000068048 ENSRNOG00000070655 protein_coding protein_coding
ENSRNOT00000018495 ENSRNOG00000013767 protein_coding protein_coding
ENSRNOT00000117400 ENSRNOG00000063387 protein_coding protein_coding
ENSRNOT00000120149 ENSRNOG00000063387 protein_coding protein_coding
ENSRNOT00000018489 ENSRNOG00000013790 protein_coding protein_coding
ENSRNOT00000106348 ENSRNOG00000013790 protein_coding protein_coding
ENSRNOT00000095258 ENSRNOG00000015184 protein_coding protein_coding
ENSRNOT00000020497 ENSRNOG00000015184 protein_coding protein_coding
ENSRNOT00000028389 ENSRNOG00000020893 protein_coding protein_coding
ENSRNOT00000096490 ENSRNOG00000064203 protein_coding protein_coding
ENSRNOT00000100879 ENSRNOG00000064203 protein_coding protein_coding
ENSRNOT00000102685 ENSRNOG00000064203 protein_coding protein_coding
ENSRNOT00000068459 ENSRNOG00000032699 protein_coding protein_coding
ENSRNOT00000106376 ENSRNOG00000032699 protein_coding protein_coding
ENSRNOT00000103317 ENSRNOG00000032699 protein_coding protein_coding
ENSRNOT00000096496 ENSRNOG00000070996 protein_coding protein_coding
ENSRNOT00000112589 ENSRNOG00000070996 protein_coding protein_coding
ENSRNOT00000116795 ENSRNOG00000070996 protein_coding protein_coding
ENSRNOT00000001607 ENSRNOG00000027016 protein_coding protein_coding
ENSRNOT00000104492 ENSRNOG00000027016 protein_coding protein_coding
ENSRNOT00000024829 ENSRNOG00000018408 protein_coding protein_coding
ENSRNOT00000077968 ENSRNOG00000018408 protein_coding protein_coding
ENSRNOT00000043307 ENSRNOG00000030782 protein_coding protein_coding
ENSRNOT00000021971 ENSRNOG00000016421 protein_coding protein_coding
ENSRNOT00000021562 ENSRNOG00000065756 protein_coding protein_coding
ENSRNOT00000024690 ENSRNOG00000018334 protein_coding protein_coding
ENSRNOT00000099117 ENSRNOG00000013074 protein_coding protein_coding
ENSRNOT00000067940 ENSRNOG00000013074 protein_coding protein_coding
ENSRNOT00000102019 ENSRNOG00000013074 protein_coding protein_coding
ENSRNOT00000100677 ENSRNOG00000069399 protein_coding protein_coding
ENSRNOT00000034610 ENSRNOG00000014726 protein_coding protein_coding
ENSRNOT00000097908 ENSRNOG00000004967 protein_coding protein_coding
ENSRNOT00000006900 ENSRNOG00000004967 protein_coding protein_coding
ENSRNOT00000110965 ENSRNOG00000065221 protein_coding protein_coding
ENSRNOT00000110261 ENSRNOG00000023407 protein_coding protein_coding
ENSRNOT00000029531 ENSRNOG00000023407 protein_coding protein_coding
ENSRNOT00000072992 ENSRNOG00000023407 protein_coding protein_coding
ENSRNOT00000051289 ENSRNOG00000061890 protein_coding protein_coding
ENSRNOT00000050010 ENSRNOG00000061890 protein_coding protein_coding
ENSRNOT00000077408 ENSRNOG00000061890 protein_coding protein_coding
ENSRNOT00000014552 ENSRNOG00000010529 protein_coding protein_coding
ENSRNOT00000111604 ENSRNOG00000012684 protein_coding protein_coding
ENSRNOT00000090755 ENSRNOG00000012684 protein_coding protein_coding
ENSRNOT00000017006 ENSRNOG00000012684 protein_coding protein_coding
ENSRNOT00000045231 ENSRNOG00000030825 protein_coding protein_coding
ENSRNOT00000103280 ENSRNOG00000063357 protein_coding protein_coding
ENSRNOT00000099476 ENSRNOG00000014617 protein_coding protein_coding
ENSRNOT00000019713 ENSRNOG00000014617 protein_coding protein_coding
ENSRNOT00000115005 ENSRNOG00000014617 protein_coding protein_coding
ENSRNOT00000117115 ENSRNOG00000014617 protein_coding protein_coding
ENSRNOT00000104840 ENSRNOG00000067027 protein_coding protein_coding
ENSRNOT00000012086 ENSRNOG00000008980 protein_coding protein_coding
ENSRNOT00000088431 ENSRNOG00000019416 protein_coding protein_coding
ENSRNOT00000110811 ENSRNOG00000019416 protein_coding protein_coding
ENSRNOT00000115645 ENSRNOG00000019416 protein_coding protein_coding
ENSRNOT00000105628 ENSRNOG00000019416 protein_coding protein_coding
ENSRNOT00000026252 ENSRNOG00000019416 protein_coding protein_coding
ENSRNOT00000023325 ENSRNOG00000017366 protein_coding protein_coding
ENSRNOT00000010019 ENSRNOG00000007608 protein_coding protein_coding
ENSRNOT00000020806 ENSRNOG00000015294 protein_coding protein_coding
ENSRNOT00000113013 ENSRNOG00000015294 protein_coding protein_coding
ENSRNOT00000084704 ENSRNOG00000056110 protein_coding protein_coding
ENSRNOT00000034252 ENSRNOG00000028721 protein_coding protein_coding
ENSRNOT00000103439 ENSRNOG00000067832 protein_coding protein_coding
ENSRNOT00000097704 ENSRNOG00000067832 protein_coding protein_coding
ENSRNOT00000098342 ENSRNOG00000066101 protein_coding protein_coding
ENSRNOT00000090675 ENSRNOG00000070161 protein_coding protein_coding
ENSRNOT00000101208 ENSRNOG00000063217 protein_coding protein_coding
ENSRNOT00000111264 ENSRNOG00000063217 protein_coding protein_coding
ENSRNOT00000054808 ENSRNOG00000036631 protein_coding protein_coding
ENSRNOT00000044183 ENSRNOG00000016659 protein_coding protein_coding
ENSRNOT00000022382 ENSRNOG00000016659 protein_coding protein_coding
ENSRNOT00000020077 ENSRNOG00000014946 protein_coding protein_coding
ENSRNOT00000084389 ENSRNOG00000014946 protein_coding protein_coding
ENSRNOT00000094067 ENSRNOG00000067771 protein_coding protein_coding
ENSRNOT00000012831 ENSRNOG00000009468 protein_coding protein_coding
ENSRNOT00000100522 ENSRNOG00000009468 protein_coding protein_coding
ENSRNOT00000097086 ENSRNOG00000063736 protein_coding protein_coding
ENSRNOT00000100023 ENSRNOG00000069390 protein_coding protein_coding
ENSRNOT00000083551 ENSRNOG00000020318 protein_coding protein_coding
ENSRNOT00000116508 ENSRNOG00000020318 protein_coding protein_coding
ENSRNOT00000051640 ENSRNOG00000020318 protein_coding protein_coding
ENSRNOT00000071842 ENSRNOG00000047406 protein_coding protein_coding
ENSRNOT00000068499 ENSRNOG00000009135 protein_coding protein_coding
ENSRNOT00000073233 ENSRNOG00000050445 protein_coding protein_coding
ENSRNOT00000040055 ENSRNOG00000067778 protein_coding protein_coding
ENSRNOT00000043023 ENSRNOG00000031110 protein_coding protein_coding
ENSRNOT00000114125 ENSRNOG00000010628 protein_coding protein_coding
ENSRNOT00000106299 ENSRNOG00000010628 protein_coding protein_coding
